QueryText,KccAns
asked about the control of mites,recommended to spray dicofol 3ml5lit watertwice in a week on growing coconuts
asked about the control of sucking pests,recommended to spray methyl dematon  2mllit of water
asked about control of iron deficency,recomended for the application of 20-30gm annabedi with 2-3gm lemonsaltlit
asked about control of iron deficency,recomended for the application of 20-30gm annabedi with 2-3gm lemonsaltlit
asked about the variety,informed to sow t-9 variety
asked about the variety,informed to sow t-9 variety
asked about the varites,informed to sow swarnamukhior swathior vijetha
asked about the varites,informed to sow swarnamukhior swathior vijetha
asked about the control of sheatblight,recomended for the application of propiconazole 2mllit
asked about the control of sheatblight,recomended for the application of propiconazole 2mllit
asked for the control of green leaf hopper glh,recommended to spray monocrotophos 22mllit
asked about the control of stem borer in paddy,recommended to broadcast caratap hydrochloride 4g 8kgsacreor carbofuron 3g10kgsacre
asked about the control of white fly,recomended to spray triazopos 25mllit
asked about the control of stem borer,recommended to spray chloripyriphos  25mllit of water
asked about the control of white fly,recomended for the application of dimethoate 2mllit
asked about the varites,informed that to sow nandyalasannalundlr-8 mtu-1010
asked about the control of hoppers,recomended to spray carbaryl3glit
asked about the fertilizer dosage in rabi paddyin krishna delta region,recomended to apply n-48kgs p-24kgsk-16kgsacre
asked about the control of damping off,recommended to apply coc to be mixed in 10 lit of water and pour near the roots of affected plants
asked for the control of diamond black moth in cabbage,recommended to spray endosulphan 2mllit
asked about the control of white-flies in cotton,recommended to spray trizophos 25mllit or profenophos 2mllit
asked about the seed treatment and sowing time in black gram,recommended to apply corbosulphan 30g25gr thiram or captan1 kg seedin oct we can raise this crop
asked about fertilizer dosage,informed to that dosage is 36 kg n18kg p18kg k
asked about control of stem borer,recomended for the application of cartap hydrochlorid granuls 8kgacre
asked about the varieties to grow in rabi,recommended to grow for cotton dorasannalu
asked about the control of leaf spot,recommended for the application of coc 3gmltr
asked about the control of damping off,recommended to apply coc  3glit of water to the affected plants
asked about the varietes,recomended varietes are mtu-1010 ir-64
asked about the control of weeds,recomended to spray paraquot200lacre
asked about the control of thrips,recomended to spray monocrotophos 16mllit
asked about the varieties,recomended varieties are lbg-645lbg-648
asked about the control of sheath blight,recommended to spray hexaconazole2mllit of water
asked about control of blast,recomended for the application of tricychlozole 06gmlit
asked about the control of tobacco caterpillar,recomended to spray chloropyriphos 25mllit
asked about the information about cm pashu kranthi scheme,given the information as per data provided
asked about the control of weeds,recommended to apply butachlor5015litacre to be mixed in sand scatter over the field
asked about control of weeds,recomended for the application of butachlore 1-15litacre
asked about the control of bph,recommended to spray monocrotophos 22mllit
asked about he loans and finance,informed as per the provided data
asked about the varieties,recomended varieties are ir64 mtu1010
asked about the control of thrips,recommended for the application of monocrotophos 16mllit
asked about the rabi varities,recommended the kavyadivyapothana
asked about the varieties,recomended varieties are nlr-34449 nlr-33057
asked about the control of bph,recomended for the application of carboril 3gmlit
asked about the control of weeds,recomended for the application of si8holopop butail 400ml200lit
asked about control zinc deficency,recomended for the application of zinc sulphate 2gmlit
asked about the control of leaf folder,recommended to spray monocrotophos  15mllit of water
asked about the control measures of mg deficiency,recommended to spray mgsulphate 1 solution 10grlit
asked about the control of white flies,recommended to spray profenophos 2 mllit
asked about control of zinc dificency,recommended for the application of zinc sulphate 2gmlit
asked about control of blast,recommended for the application of tricyclozole 06gmlit
asked about the control of leaf folder in rice,recommended to spray monocrotophos 16mllit
asked about control of powderymildew,recommended for the application of wetabel sulfer 600gmacre
asked about the control of greenleafhopper,recomended to spray monocrotophos 22 mllit
asked about the control of magnesium deficiency,recomended to spray magnesiumsulphate 10gmlit
asked about the control of tungro virus,recomended to spray monocrotophos 22mllit
asked about the control of blast,recommended to spray tricyclozole  05glit of water
asked about the control of leaf folder,recommended to spray monocrotophos  15mllit of water
asked about the control of weeds,recomended to spray alaclore b1litacre
asked about fertiler dosage,recommended for the application of n 36 p18 k 18
asked about control of iron deficiency,recommended for the application of annabedi 20-30gm with 2-3 gmlit
asked about the control of bph,recomended to spray carbaryl 3gmlit
asked about the control of ragicutworm,recommended to spray monocrotophos 16mllit
asked about the control of blast,recommended to spray tricyclozole  05glit of water
asked about the control of bacterial leaf spot,recommended to spray 30g coc1g streptocyclin per 10lit of water
asked about the weather report of bapatla,informed as per the data provided
asked about the control of blast,recommended to spray tricyclozole  05glit of water
asked about the control of leaf spots,recommended to spary coc  3glit of water
asked about the control of rust,recommended to spray 3gm mancozeb1ml dinocaplit
asked about control of sucking pests,recommended for the application of monocrotophos 15mllit
asked about the control of sucking pests,recommended to spray methyl dematon  2mllit of water
asked about the control of leafspot,recommended to spray carbandazim 1gmlit
asked about the control of thrips,recommended to spray methyldematon 2mllit
asked about the control of sucking pests,recommended for the application of dimithoate 2ml mancozeb 2gmltr
asked about the control of flower drop,recommended for the application of planophix 25ml10ltr
asked about the control of termites,recommended to apply coltar paste at the bottem of stem
asked about the control of bph,recommended to spray carbofuran 3g  10kgacre
asked about the control of sucking pests,recommended to spray methyl dematon  2mllit of water
asked about the control of thrips,recommended to spray methyldematon 2mllit
asked about control of sucking pests,recommended for the application of monocrotophos 15mllit
asked about the control of false smut,recommended for the application of carbendazim 1gmltr
asked about the control of blackspots on leaves,recommended for the application of plantamycin with copperoxychloride 30gm10lit
asked about the control of weeds,recommended for the application of 24-d sodium salt 400gm in 200litacre
asked about the control of mites,recommended for the application of dicophal 5mlltr
asked about the control of sheath blight,recommended to spray propiconozole 1 mllit
asked about the control of root grub,recommended for the seed treatment with imidachloprid 2mlltr
asked about the control of scales,recommended to spray chloropyriphos 25 mllitor dimethoate 2 mllit
asked about the control of rust,recommended to spray 3gm mancozeb1ml dinocaplit
asked about the control of leafspot,recommended to spray carbandazim 1gmlit
asked about the weather report of bapatla,informed as per the data provided
asked about the control of tungrovirus,recommended for teh application of ithopenphos 15mllit
asked about the control of blackspots on leaves,recommended for the application of plantamycin with copperoxychloride 30gm10lit
asked about the control of weeds,recommended for the application of 24-d sodium salt 400gm in 200litacre
asked about the control of sheath blight,recommended to spray propiconozole 1 mllit
asked about the control of scales,recommended to spray chloropyriphos 25 mllitor dimethoate 2 mllit
asked about the control of white flies,recommended to spray triazophos 25 mllit
asked about the control of root grub,recommended for the seed treatment with imidachloprid 2mlltr
asked about the control of false smut,recommended for the application of carbendazim 1gmltr
asked about the control of sucking pests,recommended to spray methyl dematon  2mllit of water
asked about the weather report of bapatla,informed as per the weather data provided
asked about the control of bph,recommended to spray monocrotophos  2mllit of water
asked about control of flower droping,recommended for the application of trizophos 250mlacre
asked about the control of tungrovirus,recommended for teh application of ithopenphos 15mllit
asked about control of flower droping,recommended for the application of trizophos 250mlacre
asked about the control of sucking pests,recommended to spray methyl dematon  2mllit of water
asked about the weather report of bapatla,informed as per the weather data provided
asked about control of white fly,recommended for the application of trizophos 2mllit
asked about the control of leaf spots,recommended to spray propiconazole  1mllit of water
asked about the control of nematodes,recommended to apply carbofuron granules 40gmeffected plant
asked about the control of nematodes,recommended to apply carbofuron granules 40gmeffected plant
asked about the control of leaf spots,recommended  to spray propiconazole  1mllit of water
asked about control of white fly,recommended for the application of trizophos 2mllit
asked about the control of weeds,recommended for the application of fenaxoprop ethyl 250 mlltr
asked about control of sucking pests,recommended for the application of imdachlopride 04mllit
asked about control of fruit borer,recommended for the application of chlorpyriphos 500mllit
asked about the control of weeds,recommended to spray 400gm 24-d sodiumsalt in 200litacre
asked about the control of weeds,recommended for the application of fenaxoprop ethyl 250 mlltr
asked about the control of flower drop,recommended for the application of planophix 25ml10ltr
asked about the control of sucking pests,recommended for the application of dimithoate 2ml mancozeb 2gmltr
asked about the control of termites,recommended to apply coltar paste at the bottem of stem
asked about the control of weeds,recommended to spray 400gm 24-d sodiumsalt in 200litacre
asked about the control of redmites,recommended to spray dicofol 5mllit
asked about the control of iron deficiency,recommended to spray 5-10gm annabedichurnam  nimma uppu 1gmlit
asked about the control of anthracnose,recommended to spray coc  3glit of water
asked about the control of redmites,recommended to spray dicofol 5mllit
asked about the control of bph,recommended to spray ithopenphos 15mllit
asked about the control of leaf spot,recommended for the application of blitox 3gmltr
asked about the control of flowerdrop,recommended to apply naa 10 ppm
asked about the control of thrips,recommended to fasalon 3 mllit
asked about the control of bph,recommended to spray ithopenphos 15mllit
asked about the control of leaf spot,recommended for the application of blitox 3gmltr
asked about the control of flowerdrop,recommended to apply naa 10 ppm
asked about the control of thrips,recommended to fasalon 3 mllit
asked about the control of dampingoff,recommended to spray copperoxychloride 3gmlit
asked about the contact number of ada chittor,informed as per the provided information
asked about the control of tobacco caterpillar,recommended to spray chloripyriphos 25 grlit
asked about the contact number of ada chittor,informed as per the provided information
asked about the control of tobacco caterpillar,recommended to spray chloripyriphos 25 grlit
asked about the control of whorl maggot,recommended for the application of manacrotophas 16mlltr
asked about the contorl of fruit borer,recommended to spray prophenophos  2mllit of water
asked about the weather report of tenali,informed as per the provided information
asked about the control of gundy bug,recommended to spray endosulphon 2 mllit
asked about the weather report of tenali,informed as per the provided information
asked about the control of dampingoff,recommended to spray copperoxychloride 3gmlit
asked about the control of little leaf,recommended for the application of methyl demeton 2mlltr and recommended to remove the effected plants
asked about the control of rootrot,recommended to spray copperoxychloride 25gmlit
asked about the control of whorl maggot,recommended for the application of manacrotophas 16mlltr
asked about control of bph,recommended for the application of monocrotophos 22mllit
asked about control of bph,recommended for the application of monocrotophos 22mllit
asked about control of blast,recommended for the application of tricychlozole 05gmlit
asked about the control of green leaf hopper,recommended to spray ethofenphos 15 mllit
asked about control of tobacco caterpiler,recommended for the application of poison bit with chlorpriphos
asked about the contorl of thrips,recommended to spray carbaryl  3glit of water
asked about the control of leaffolder,recommended to spray monocrotophos 16mllit
asked about the control of green leaf hopper,recommended to spray ethofenphos 15 mllit
asked about the varities,suggested to grow lbg-645611611685 and lbg-402
asked about the control of tobacco caterpillar,recommended to spray endosulphon 2 mllit
asked abuot control of sheath rot,recommended for the application of benomil 05gmlit
asked about control of tobacco caterpiler,recommended for the application of poison bit with chlorpriphos
asked about the control of leaffolder,recommended to spray monocrotophos 16mllit
asked about the varities,suggested to grow lbg-645611611685 and lbg-402
asked abuot control of sheath rot,recommended for the application of benomil 05gmlit
asked about the contorl of thrips,recommended to spray carbaryl  3glit of water
asked about the control of tobacco caterpillar,recommended to spray endosulphon 2 mllit
asked about the control of leaf eating caterpillar,recommended to spray endosulphon 2 mllit
asked about the control of whitefly,recommended to spray triazophos 25mllit
asked about the control of thrips,recommended to spray acephate 30 gracre
asked about lemon varieties,informmed to that varieties are balajikakgi
asked about lemon varieties,informmed to that varieties are balajikakgi
asked about the control of whitefly,recommended to spray triazophos 25mllit
asked about the control of thrips,recommended to spray acephate 30 gracre
asked about the control of ragicut worm,recommended for the application of monocrotophos 16mllit
asked about control of bacterial leaf spot,recommended for the application of coc 30gmstreptocychlin 1gm10lit
asked about control of sheath rot,recommended for the application of benomil 05mllit
asked about the control of tobacco caterpillar,recommended to spray carbaryl 3gmlit
asked about the control of green leaf hopper,recommended to spray ithopenphos 15mllit
asked about the control of sheath rot,recommended to spray cabandazim 10gmlit
asked about the control of fly,recommended for the application of acephate 15gmltr
asked about the control of bph,recommended for the application of acephate 15gmltr
asked about control of bacterial leaf spot,recommended for the application of coc 30gmstreptocychlin 1gm10lit
asked about control of sheath rot,recommended for the application of benomil 05mllit
asked about the control of ragicut worm,recommended for the application of monocrotophos 16mllit
asked about the control of sheath rot,recommended to spray cabandazim 10gmlit
asked about the control of green leaf hopper,recommended to spray ithopenphos 15mllit
asked about the control of bph,recommended for the application of acephate 15gmltr
asked about the control of tobacco caterpillar,recommended to spray carbaryl 3gmlit
asked about the control of fly,recommended for the application of acephate 15gmltr
asked about the control of sheath blight,recommended to spray propiconozole 1 mllit
asked about the control of sheath rot,recommended to spray benomil 1 gr2 lit
asked about the control of bph,recommended to apply carbofuran 3g  10kgacre
asked about the control of sheath rot,recommended to spray carbendazim  1glit of water
asked about the control of sheath rot,recommended to spray carbendazim  1glit of water
asked about the control of sheath rot,recommended to spray benomil 1 gr2 lit
asked about the control of sheath blight,recommended to spray propiconozole 1 mllit
asked about control of weeds,recommended for the application of 24-d sodium salt 400gm200lit
asked about the control of whiteflies,recommended to spray triazophos 25 mllit
asked about control of weeds,recommended for the application of 24-dsodium salt 4oogm200lit
asked about the control of leaf folder,recommended to spray chloripiriphos 2mllit
asked about the control of thrips,recommended to spray carbaril 3 grlit
asked about the control of thrips,recommended to spray carbaril 3 grlit
asked about the control of whitefly,recommended to spray neemoil 05 mllit
asked about the control of sheat rot,recommended for the application of benomyl 05gmlit
asked about the control of sheat rot,recommended for the application of benomyl 05gmlit
asked about the control of whitefly,recommended to spray neemoil 05 mllit
asked about the leaf spots,recommended to spray copper oxi chloride  3glit of water
asked about control of sucking pests,recommended for the application of imidachlopryde 04mllit
asked about control of fruit borer,recommended for the application of chlorpyriphos 500mllit
asked about control of white fly,recommended for the application of trizophos 2mllit
asked about control of sheath blight,recommended to spray hexaconazole  2mllit of water
asked about the deficiency of zinc,recommended to spray zincsulphate 2 grlit
asked about the deficiency of zinc,recommended to spray zincsulphate 2 grlit
asked about control of sheath blight,recommended to spray hexaconazole  2mllit of water
asked about the control of redmites,recommended to spray dicofol 5mllit
asked about control of black arm,recommended for the application of plantomycine 1mlcoc 30gm10lit
asked about the control of weeds,recommended to apply butachlor5 4kg24-d 4kg with 20kg sandacre
asked about the control of tobacco cater pillar,recommended to spray thiodecarb  15glit of water
asked about control of die-back,recommended for the application of mancozeb 3gmlit
asked about control of leaf folder,recommended for the application of chlorpyriphos 2mllit
asked about control of leaf folder,recommended for the application of chlorpyriphos 2mllit
asked about control of zinc deficency,recommended for the application of zinc sulphate 2gmlit
asked about the control of stemborer,recommended to spray chloropyriphos 2mllit
asked about the dosage of zinc sulphate in paddy,recommended to apply 20 kgsacre
asked about cotton rate,informmed as per the provided data
asked about control of flower dropping,recommended for the application of planofix 25ml10lit
asked about the weather report,given the weather report
asked about the control of ragi cut worm,recommended to spray quinolphos 2 mllit
asked about the control of black spot disease,recommended to spray 1 gr plantomycin  coc 3o gr10 lit water
asked about control of stem borer,recommended for the application of chlorpyriphos 2mllit
asked about control of bacterial blight,recommended for the application of palntomycin 100mglit
asked about control of  mites,recomended for the application of dichofal 5mllit
asked about the seed treatement,recommended to apply carbosulphon 30 gr  captan 3 grkg seed
asked about the control of tobaccocaterpillar,recommended to spray chloripyriphos 25mllit
asked about the control of bph,recommended to spray carbofuran 3g  10kgacre
asked about the control of sucking pests,recommended to spray methyl dematon  2mllit of water
asked about the control of thrips,recommended to spray methyldematon 2mllit
asked about the control of cercosporaleafspot,recommended to spray copperoxychloride 3gmlit
asked about the sowing season,informed the sowing time is during sep-20 to oct-20
asked about the control of tobacco caterpillar,recommended to spray chloripyriphos 25mllit
asked about the control of anthracnose,recommended to spray copperoxychloride 3gmlit
asked about the control of mangohoppers,recommended to spray 16ml monocrotophos  1gm carbandezimlit
asked about the control of gramcaterpillar,recommended to spray chloripyriphos 25mllit
asked about the control of caseworm,recommended to spray monocrotophos 16mllit
asked about the details about the biofuel plants,informed as per the provided data avilable
asked about the control of aphids in chilli,recommended tospray monocrotophos 16mllit
asked about the water management in red gram,recommended to apply at the time offlowering and at the time of fruiting stage
asked about the control of blast,recommended to spray tricyclozole 05gmlit
asked bout the control of spotted stem borrer in jowar,recommended to spray endosulphon 2ml mixed in 1 lit of water
asked about the appilication of azolla in rice field,informed that to apply 100-150kg azolla with 50kg sspacre
asked about the control of mites,recommended to spray malathiyan 200-400mlace
asked the contrl of shoot flys in black gram,recommended to spray monocrotophos 16mllit
asked about the control of mites in chilly,recommended to spray dicophol 5mllit
asked about the control of cercospora leaf spot in chilly,recommended to spray capper oxychloride 3gmlit
asked about sowing season,recommended to sow in nov
asked about control for rice stem borer damage,recommended to spray cartap hydrochloride 2gmlt
asked about control for spotted catrepiller,recommended to spray endosulfon 2ml nuvon 1ml
asked about control for flower drop,recommended to spray planophix 1ml45litres
asked about the control of rice blast,recommended to spray tricyclozole 06gmltr
asked about control for wilt,recommended to spray blitox 3gmlt
asked about the control of bph,recommended to spray acephate 15gmltr
asked about control for stem borer,recommended to spray endosulfan 2mllt
asked about control for powdery mildew,recommended to spray wettable sulpher 3grlitre
asked about the control of thrips in chillies,recommended to spray acephate15grlit
asked about varieties,recommended varieties are trishulatha dhm-103105 amber popcorn
asked about the control of fruit drop,recommended to spray planophix 1ml5ltr
asked about control for stemborer,recommended to spray endosulphan 2mllt
asked about control for tikka leaf spot,recommended to spray chlorothalonil 400gm200lt
asked about control for sheath rot,recommended to spray bavistin 1grlitre
asked about the varieties in tomatos,recommended laxmi variety
asked about weather report,no chance of rain upto sunday
asked about the control of mites,recommended to spray dicofal5mllit
asked about the control of weeds in watermelon,recommended to spray metalachlor 15lt in 200lt of water
asked about control for stem borer damage,recommended to spray endosulfon 3kgsacre
asked about control for mites,recommended to spray dicofal 5mllt
asked about control for gallmidge,recommended to aplly phorate 10gacre
asked about control for stem borer,recommended to spray cartaphydrochloride 2gmlt
asked about the control of sucking pest in maize,recommended to spray acephate15gramslit
asked about control for zn deficiency,recommended to spray znso4 2mllitre
asked about control for powdery mildew,recommended to aplly sulphur 3gmlt
asked about the control of canker,recommended to spray 1gm streptocyclin  30 gm blitox in 10 ltr water and also apply bordeaux paste
asked about control for stem borer damage,recommended to spray cortop hydrochloride 2grlitre
asked about the control of sucking pests,recommended to arrange florescent bulb 1hectare in the night
asked about control for stem borer damage,recommended to spray cortop hydrochloride 2grlitre
asked about the varieties,recommended varieties are tejalbg-22645648panth-3090
asked about control for whitefly damage in tobacco,recommended to spray acepate 1grlitre
asked about control for pest attack on paddy bags,recommended to apply aluminium phospide
asked about the control of bph in rice,recommended to spray acephate 15gmlt
asked about the control of rice blast,recommended to spray cartaphydrochloride 2gmltr
asked about the control of blast in rice,recommended to spray tricyclozole 06gmlt
asked about the control of stem borer in maize,recommended carbofurangranule4kgsacre
asked about the control of sucking pest in cotton,recommended to spray imidacloprid2mlliter
asked about the co trol of blast in rice,recommended to spray tricyclozole 06gmlt
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mlliter
asked about control for sucking pests,recommended to spray rogor 2mllitre
asked about the control of blight in chrysanthimum,recommended to drench the soil with mancozeb3gramsliter
asked about control for greenleaf hopper,recommended to spray monochrotophos 22mllt
asked about the control of leaf webber in mango,recommended to spray quinolplhos 2mllt
asked about the control of flower dropping in lemons,recommended to spray planofix 1ml5lt of water
asked about weather report,no chance of rain upto wednusday
asked about control for tobacco caterpillar,recommended to spray monochrotophos 2mllt
asked about the control of pink borer in maize,recommended to spray endosulfon 2mllt
asked about the control of blast in rice,recommended to spray tricyclozole 06gmlt
asked about the sowing season of bitter gourd,recommended january-febravery months
asked about the control of thrips,recommended to spray acephate 15 gmltr
asked about control for fruit borer damage,recommended to spray cypermethrine 1mllitre
asked about the control of weeds,recommenmded to spray pendimithalin 15ltracre
asked about the control of tobacco caterpillar,recommended to spray quinolphas 2mlltr
asked about control of rice stem borer,recommended to spray chlorpyriphos 2mllt
asked about the control of shoot and fruit borer in brinjal,recommended to spray monocrotophos2mlliter
asked about control for fruit rot,recommended to spray mancozeb 25grlitre
asked about weather report,chance of rain on tuesday night
asked about control of stem borer in jowar,recommended to spray endosulphon 2ml1l water
asked about control of flower drop in chilli,recommended to spray chlorpyriphos 500mllt
asked about control of rice blast,recommended to spray tricyclozole 06gmlt
asked about control for stem borer damage,recommended to spray cartop hydrochloride 2grlitre
asked about the control of sheath blight,recommended for the application of hexaconozole
asked about control for stem borer damage,recommended to apply cartop hydrochloride 8kgsacre
asked about control of spodoptera damage in sunflower,recommended to spray monocrotophos 16ml1l water
asked about control of spodoptera damage in sunflower,recommended to spray monocrotophos 16ml1l water
asked about the control of stem borer,recommended to spray cartyaphydrochloride 2gmltr
asked about the control of stem borer,recommended to spray cartyaphydrochloride 2gmltr
asked about control of climbing cutwarm in rice,recommended to spray endosulfan 2mldichlorovas 1mllt
asked about control of climbing cutwarm in rice,recommended to spray endosulfan 2mldichlorovas 1mllt
asked about information mushrooms,given ph no 040 24015011
asked about control of paddy stem borer,recommended to spray cloriphiriphos 2ml1l water
asked about control for black headed caterpiller,esc to atic
asked about control for black headed caterpiller,esc to atic
asked about control of capsule borer in castor,recommended to spray dimethoate2mlliter
asked about control of capsule borer in castor,recommended to spray dimethoate2mlliter
asked about varieties,recommended to choose pkm-1 or jafna
asked about varieties,recommended to choose pkm-1 or jafna
asked about control for gummosis,recommended to apply metalaxil 2mllitre and spray bavistin 1grlitre
asked about control for gummosis,recommended to apply metalaxil 2mllitre and spray bavistin 1grlitre
requested for orange crop booklet,esc to manage
ask about market price,given information price of paddy 800 t0 850
asked about lemone fertiliser,esc to atic
is there any crop to be grown in aprilmay,better to leave the land with out growing any crop
asked about paddy bpt varitiemarketinformation,given ongole market prices are 900 to 980 rsqtl
asked about tissue culture,given no: 08592-231518
asked about tissue culture,given no:08592-231518
asked about control of fruit dropping in citrus,recommended to spray planophix 25ml10l water
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about control for sucking pests,recommended to spray rogor 2mllitre
asked about seed treatment for chillies,recommended to treat the seed with trisodium artho phospate 150grkg seed
asked about the control of greening disease,recommended to spray monocrotophas 16 mlltr
asked about varieties of tomato,recommended to choose arka varieites
asked about control for thrips,recommended to spray dimethoate 2mllt
asked about the control of fruit borer in brinjal,suggested to spray prophenophos2mllit or cypermithrin1mllit
asked about weather,there is no chance of rain
asked about varieties for tajitus,recommended to choose pusanaringa gainda or pusabasanti gainda
asked about varities,recommended varities are mallikarjuna wcc-75
asked about dosage of zipsum in rice,recommended to apply 20kgacre zinc sulphate
asked about information on vermicompost,esc to atic
asked about the fertiliser dosage,given the information on fertiliser dosage
asked about fertilizer application for 9th year plants,recommended to apply 1500gr n 350gr p 400gr k
asked about the control of stem rot,recommended to apply trichoderma viridi  compost
asked about the varities that are resistant to wilt,suggested to grow lrg-41aashalaxmi maruthi
asked about the control of tikka leaf spot,suggested to spray mancozeb400glit or carbendazim200glit
asked about the control of fruit drop,recommended to spray planophix 1ml5ltr
asked information about poultry farm,esc to ah
asked about control of fllies damage,recommended to spray acephate 3gmkg seed
asked about the control of horned beetle,recommended for the root injecting of 10 ml monocrotophas 10 ml water
asked about the seed treatement,recommende for the application of imidachlopride 5 gmkg seed
asked about control for wilting,recommended to spray blitox 3grlitre
asked about information on dairy farm,esc to ah
asked about the control of tobacco cater piller,recommended to spray quinolphos2mllit of water
asked about the charecteristics of dch-519,given the required information to the farmer
asked about information on dairy,esc to ah
asked about the control of rice blast,recommended to spray tricyclozole 06 gmltr
asked about control for weeds,recommended to spray pendimethalin 1litacre
asked about control of thrips damage in lime,recommended to spray acephate 15gmlt water
asked about weather data,given as per data
asked about control of root rot disease,recommended to spray coc-3gmkg seed
asked about suitable saffflower varities for paddy fencing,esc to atic
asked about control for leaf folder,recommended to sprayacephate 15gmlit water
asked about control of stem borer,recommended to spray carbofuran granules 10kgacre
asked about control for gimmosis,recommended to apply bordo paste
asked about control of rice stem bore,recommended to spray carbofuran granules 10kg acre
asked about the control of flower drop,recommended to spray naa-10ppm
asked about control for weeds,recommended to spray gramoxzone 1lit450 lit wateracre
ased wether he can use of the last kharif season,recommended that he can use the seed for sowing
asked about the varieties,recommended varietiea are maruthydurgalrg-3041
asked about the varieties,recommended varieties are kranthiharithadch-32177
asked about control for sucking pests damage,recommended to spray rogor 2mllitre
asked about control for blast,recommended to spray beam 120gm200litacre
asked about the weather report,informed that there is a chance of rain today or tomorrow as per the reports provided
asked about the contrl of bph,recommended to spray acephate  15glit of water
wanted contact no of   apseeds  ongole,given contact no   231579
asked about control of rice blast,recommended t o spray tricyclozole 06gmlt
asked about the control for stem borer,recommended to spray chloripyriphos  25mllit of water
asked about control of flower drop,recomeded for 24-d 10ppm
asked about the control of mealybug,recomended for the application of dichlorovas1mllit
asked about control of weeds,recomended for the application of fluchloralin 45acre
asked about contrpl of wedds,recommended to spray glycel 8ml20gmammoniumsulphate10gm urea
asked about the sowing season,recomended to sow during october
asked about the control of sucking pest,recomended to apply monocrotpphos16mllit
asked about the varities,recommended to grow lrg-303841 recommended to grow lrg-303841
asked about the control of bph,recomended for the application of monocrotophos 22mllit
asked about the control of bph,recomended for the application of monocrotophos 22mllit
asked about the control of thrips,recommended to spray carbaril-3gr or fasalon-3mllit
asked about the seed treatment,recomended for the application of mancozeb 3gkg seed
asked about the control of damping off,recommended to apply coc  3glit of water and pour near the roots
asked about the control of blast,recomended for the application of ediphenpos 1mllit
asked about the loans and schemes in purchasing buffalos,recommended to call lam farm-guntur:08818-2844440863-2524085
asked about the control of anthracnose,recommended to spray coc  3glit of water
asked about the control of white flies in cotton,recommended for the spray of methyl demeton 2mlltr
asked about the control of weeds,recommended weedicide is pendimithalin 15 ltracre
asked about the control of blast,recommended to spray tricyclozole  06glit of water
asked about the control of iron defisiency,recomended for the application of 20-30g annabedichurnam 2-3g salt 200-240litacre
asked about the seed treatment,recomended to treat seeds with 30gm carbosulphon per kg seed
asked about the weather report,informed as per the data avilable
asked about the control of iron defisency,recomended to spray annabedichurnam 20-30g 2-3g saltlit
asked about weather report,informed as for the given data
asked about control of rice blast,recomended for the application of tricyclozole 06gmlit
asked about the control of blast,recommmended to spray tricyclozole  05glit of water
asked about the control of fruit borer,recommended to spray prophenophos  2mllit of water
asked about the control of weeds in rice nursery,recommended to spray pretilachlore 100ml10 cents area
asked about weather condition of chirala,recommended the up-coming 5days report
asked about the control of weeds,recomended for the application of penaxoprop ethyl 9 250ml in 200 litacre
asked about apseed development authority number,adviced to call 08952-231579
asked about control of fe deficency,recommended for the application of annabedi 20-30gm with 2-3gm lemonsaltlit
asked about the weather reportrain fall,given the weather report to the farmer
asked about the control of thrips and aphids,recommended to spray monocrotophos 16mllit
asked about weather report,informed as per recomended data
asked about control of bph,recomended for the application of monocrotophos 22mllit
asked about the control of bph,recommended to spray acephate  15glit of water
asked about control of leaf folder,recommended for the application of chloripyriphos 2mllit
asked about the weather report of chirala prakasham,adviced the up-coming 5 days report
asked about the control of tobacco-caterpillar and gram-caterpillar,recommended to spray fenvalrate 1 mllit
asked about the control of flower drop,recommended for the application of naa and dap
asked about the control of blast,recommended to spray tricyclozole  05glit of water
asked about the control of spodoptera,recommended to spray quinolphos ekalux500mlacre
asked about the fertilizers,recomended to use 48kg nitrogen 24kg phosporus 16kg potash
asked about the control of spotted stem borer,recommended to spray endosulphon 2 mllit
asked about the control of sucking pests,recommended to spray methyldematon 2mllit of water
asked about the control of thrips,recommended to apply carbaril 600 gracre
asked about the control of sheath rot,commended to spray benomil 1 gr2 lit or carbandazim 1 grlit
asked about the control of thrips,recommended to apply carbaril 600 gracre
asked about the sucking pest,recommended for the application of imidacloprid 04mllit
asked about the control of thrips and mites,recommended to spray fasalon 3 mllit
asked about the control of sheath rot,recommended to spray benomil 1 gr2 lit or carbandazim 1 grlit
asked about the sucking pest,recommended for the application of imidacloprid 04mllit
asked about the control of thrips and mites,recommended to spray fasalon 3 mllit
asked about weather report,informmed as per the reported data
asked about the control of gram caterpillar,recommended to spray indaxacarb 1 mllit or spinosad 03 mllit
asked about the control of gram caterpillar,recommended to spray indaxacarb 1 mllit or spinosad 03 mllit
asked about control of thrips,recommended for the application of acephate 15mllit
asked about the contorl of sucking pests,recommended to spray methyl dematon  2mllit of water
asked about control of trhips,recommended for the application of acephate 15mllit
asked about the contorl of sucking pests,recommended to spray methyl dematon  2mllit of water
asked about the control of fruit rot,recommended for the application of coc 30gm  streptocycline 1gm per 10ltr water
asked about the control of rust,recommended to spray copperoxychloride 3gmlit
asked about the control of fruit rot,recommended for the application of coc 30gm  streptocycline 1gm per 10ltr water
asked about the control of weeds,recommended to spray alachlore 15litacre
